City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hermanus,-34.4187,19.2345,71.91,86,97,12.95,ZA,1643580093
Arraial do Cabo,-22.9661,-42.0278,75.67,90,90,10.02,BR,1643580108
Baykit,61.67,96.37,-4.34,99,100,0.4,RU,1643580108
Beloha,-25.1667,45.05,72.82,76,91,15.46,MG,1643580110
Qaqortoq,60.7167,-46.0333,21.7,63,100,16.82,GL,1643580111
Chełmno,53.3485,18.4251,40.44,63,55,19.13,PL,1643580112
Yellowknife,62.456,-114.3525,-6.59,83,100,8.99,CA,1643580011
Talcahuano,-36.7167,-73.1167,67.68,52,0,19.57,CL,1643580113
Adrar,20.5022,-10.0711,75.31,13,100,10.11,MR,1643579890
Lavrentiya,65.5833,-171.0,-5.8,90,4,3.74,RU,1643580115
Pevek,69.7008,170.3133,-13.88,96,99,1.99,RU,1643580116
Guarapari,-20.6667,-40.4975,79.9,91,52,5.06,BR,1643580118
Husavik,66.0449,-17.3389,22.75,67,40,27.76,IS,1643580118
Gizo Government Station,-8.103,156.8419,83.66,74,100,8.61,SB,1643579940
Gamba,-2.65,10.0,77.22,86,100,2.86,GA,1643580120
Jiaocheng,24.6774,116.1389,39.63,86,42,3.18,CN,1643580121
Carauari,-4.8828,-66.8958,79.07,87,96,3.27,BR,1643580121
Ilulissat,69.2167,-51.1,5.02,56,75,13.8,GL,1643580122
Port Elizabeth,-33.918,25.5701,71.1,90,94,10.38,ZA,1643580016
Port Alfred,-33.5906,26.891,73.78,88,97,17.18,ZA,1643579973
Cochabamba,-17.3895,-66.1568,69.8,54,91,2.8,BO,1643580124
Grindavik,63.8424,-22.4338,27.07,68,75,36.82,IS,1643580125
Vanimo,-2.6741,141.3028,76.5,89,100,8.48,PG,1643580125
Ylivieska,64.0833,24.55,17.31,94,100,6.73,FI,1643580125
Deputatsky,69.3,139.9,-25.15,100,73,2.3,RU,1643580127
Hasaki,35.7333,140.8333,30.6,48,100,16.82,JP,1643580127
Esperance,-33.8667,121.9,64.24,78,45,13.06,AU,1643579933
Cayenne,4.9333,-52.3333,78.84,87,75,11.01,GF,1643580056
Solone,48.2081,34.8721,32.05,94,98,13.4,UA,1643580128
Sokolo,14.7328,-6.1219,78.48,14,34,9.84,ML,1643580129
Banjarmasin,-3.3244,114.591,77.14,90,100,2.59,ID,1643580129
Hong Kong,22.2855,114.1577,58.32,77,86,1.99,HK,1643580054
Winchester,51.0651,-1.3187,48.02,85,40,8.99,GB,1643580121
Alyangula,-13.8483,136.4192,82.6,76,100,19.44,AU,1643580131
Bluff,-46.6,168.3333,68.81,85,93,4.43,NZ,1643580132
Khuzdar,27.7384,66.6434,54.84,39,0,5.3,PK,1643580133
Pishin,30.5803,66.9961,44.46,59,19,3.87,PK,1643580133
Kapaa,22.0752,-159.319,80.58,75,12,4.0,US,1643580098
Tuatapere,-46.1333,167.6833,68.83,68,17,2.59,NZ,1643580135
Aden,12.7794,45.0367,76.64,71,28,13.13,YE,1643580135
New Norfolk,-42.7826,147.0587,68.76,72,4,2.37,AU,1643580136
Qingyuan,23.7,113.0333,46.38,62,99,7.63,CN,1643580136
Cape Town,-33.9258,18.4232,68.11,79,0,3.0,ZA,1643579920
Faanui,-16.4833,-151.75,80.6,72,11,9.1,PF,1643580137
Washington,47.5001,-120.5015,38.93,93,100,3.96,US,1643580101
Cockburn Town,21.4612,-71.1419,74.79,74,91,20.89,TC,1643580138
Narasannapeta,18.4167,84.05,65.01,82,0,3.94,IN,1643580138
Faya,18.3851,42.4509,57.31,84,11,4.23,SA,1643579980
Geraldton,-28.7667,114.6,72.01,88,100,13.8,AU,1643580139
Kiama,-34.6833,150.8667,79.57,76,26,1.99,AU,1643580140
Yeniseysk,58.4497,92.1703,-1.01,99,100,2.59,RU,1643580140
Bethel,41.3712,-73.414,23.76,50,24,1.01,US,1643580140
Āron,24.3833,77.4167,56.53,37,0,5.7,IN,1643580141
Araouane,18.9048,-3.5265,73.17,15,43,10.67,ML,1643580141
Saint-Leu,-21.15,55.2833,77.86,77,20,14.25,RE,1643580142
Puerto Ayora,-0.7393,-90.3518,76.15,73,100,8.79,EC,1643580092
Narsaq,60.9167,-46.05,21.42,72,100,17.52,GL,1643580143
Tasiilaq,65.6145,-37.6368,8.76,50,96,12.75,GL,1643580143
Stykkisholmur,65.0757,-22.7297,25.02,55,100,31.09,IS,1643580008
Souillac,-20.5167,57.5167,79.18,94,75,11.5,MU,1643580144
Tessalit,20.1986,1.0114,69.84,14,28,11.07,ML,1643580145
Barghāt,22.0333,79.7167,57.52,31,3,3.78,IN,1643580145
Egvekinot,66.3167,-179.1667,-1.05,65,63,7.92,RU,1643579902
George Town,5.4112,100.3354,81.9,90,20,1.99,MY,1643579877
Izumo,35.3667,132.7667,35.49,87,75,10.36,JP,1643580147
Saint-Félicien,48.6501,-72.4491,5.14,82,89,7.36,CA,1643580147
Hisor,38.525,68.5512,37.15,69,95,1.59,TJ,1643580148
Umm Kaddadah,13.6017,26.6876,57.42,17,0,14.43,SD,1643580148
Sinnamary,5.3833,-52.95,76.39,87,51,11.9,GF,1643580149
Iqaluit,63.7506,-68.5145,-15.07,76,40,5.75,CA,1643579882
Willowmore,-33.2926,23.4895,71.13,62,96,7.2,ZA,1643580149
Punta de Bombón,-17.1717,-71.7931,71.71,69,97,7.63,PE,1643580150
Vuktyl,63.8567,57.3094,4.33,97,100,4.14,RU,1643580150
Mandalgovi,45.7625,106.2708,-1.68,82,9,8.48,MN,1643580151
Tigzirt,36.8886,4.1198,51.85,62,0,5.03,DZ,1643580152
Barrow,71.2906,-156.7887,-7.58,84,100,10.36,US,1643580152
Lagoa,39.05,-27.9833,58.53,70,50,26.51,PT,1643580153
Masvingo,-20.0637,30.8277,64.15,88,37,4.38,ZW,1643580153
Damietta,31.4165,31.8133,53.64,54,100,9.93,EG,1643580154
Xining,36.6167,101.7667,8.47,73,53,3.0,CN,1643580012
Khatanga,71.9667,102.5,-5.91,98,99,9.71,RU,1643580097
Hithadhoo,-0.6,73.0833,81.55,70,86,9.4,MV,1643579924
Atuona,-9.8,-139.0333,78.08,77,11,13.69,PF,1643580103
Pacifica,37.6138,-122.4869,65.52,71,20,5.01,US,1643580070
Nago,26.5881,127.9761,59.07,66,98,20.62,JP,1643580157
Te Anau,-45.4167,167.7167,66.97,70,21,0.67,NZ,1643580158
Njeru,0.4186,33.1731,71.94,70,99,3.71,UG,1643580158
Bima,-8.4667,118.7167,76.33,94,100,1.7,ID,1643580159
Cidreira,-30.1811,-50.2056,73.87,70,6,18.28,BR,1643580160
Mezen',65.8522,44.24,9.66,96,100,6.04,RU,1643580161
Zhigansk,66.7697,123.3711,-33.05,100,100,2.06,RU,1643580162
Paka,4.6374,103.4368,74.95,85,69,3.15,MY,1643580162
Codrington,-38.2667,141.9667,67.01,88,54,6.4,AU,1643580163
Billings Metropolitan Area,45.7833,-108.5007,52.5,30,60,13.0,US,1643579922
Saint-Philippe,-21.3585,55.7679,78.39,82,46,11.36,RE,1643580164
Bereda,43.2686,-7.5406,43.92,99,12,3.2,ES,1643580164
Khasan,42.4308,130.6434,18.73,50,0,15.43,RU,1643580165
San Quintín,30.4833,-115.95,64.24,47,1,8.66,MX,1643580165
Comodoro Rivadavia,-45.8667,-67.5,62.46,34,40,11.5,AR,1643579994
Samarai,-10.6167,150.6667,81.86,74,100,8.88,PG,1643580167
Tchibanga,-2.85,11.0333,71.91,96,100,2.28,GA,1643580167
Portland,45.5234,-122.6762,54.19,72,100,5.01,US,1643580143
Urengoy,65.9667,78.3667,-7.31,100,88,7.38,RU,1643579896
Caravelas,-17.7125,-39.2481,79.61,83,22,11.5,BR,1643580168
Kavieng,-2.5744,150.7967,81.64,75,89,2.28,PG,1643580169
Dinkelsbühl,49.0694,10.3199,36.25,82,31,5.14,DE,1643580170
Leningradskiy,69.3833,178.4167,-14.04,94,90,3.74,RU,1643580170
San Cristobal,7.7669,-72.225,74.48,65,96,4.61,VE,1643580171
Smithers,54.7804,-127.1743,32.32,80,75,4.61,CA,1643580171
Lüderitz,-26.6481,15.1594,64.98,87,75,8.39,NA,1643580171
Port Lincoln,-34.7333,135.8667,67.14,82,47,9.22,AU,1643580076
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,98.08,11,0,6.24,AR,1643580173
Pangnirtung,66.1451,-65.7125,-21.03,84,94,5.77,CA,1643580173
Mount Isa,-20.7333,139.5,74.97,100,75,5.75,AU,1643580043
Saint Paul Harbor,57.79,-152.4072,27.43,78,41,5.17,US,1643580174
Abengourou,6.7297,-3.4964,73.92,23,80,4.41,CI,1643580175
Mossamedes,-15.1961,12.1522,73.26,71,100,5.23,AO,1643579910
Ponta do Sol,32.6667,-17.1,65.12,39,1,9.37,PT,1643580176
East London,-33.0153,27.9116,74.61,83,83,15.01,ZA,1643580161
Yumen,40.2833,97.2,14.25,44,100,6.46,CN,1643579995
Vostok,46.4856,135.8833,-21.87,99,66,3.49,RU,1643580178
Mahébourg,-20.4081,57.7,79.09,94,75,11.5,MU,1643580064
Severobaykal'sk,55.65,109.3167,-7.74,96,99,2.08,RU,1643580179
Acaraú,-2.8856,-40.12,77.29,82,100,10.6,BR,1643580179
Ecoporanga,-18.3733,-40.8306,78.6,71,97,4.12,BR,1643580180
Quesnel,52.9999,-122.5029,34.3,93,100,4.61,CA,1643580180
Estelle,29.8458,-90.1067,66.99,41,0,11.5,US,1643580177
Severo-Kuril'sk,50.6789,156.125,27.75,95,100,11.05,RU,1643580181
Yerbogachën,61.2767,108.0108,-18.09,100,93,3.06,RU,1643580182
Magadan,59.5667,150.8,5.63,77,86,12.77,RU,1643580183
Chimbote,-9.0853,-78.5783,72.75,78,100,10.27,PE,1643580184
Ola,59.5833,151.2833,5.25,78,98,13.51,RU,1643580184
Tabas,33.5959,56.9244,45.05,28,0,3.98,IR,1643580186
Itarema,-2.9248,-39.9167,76.91,83,100,8.77,BR,1643580186
Olafsvik,64.8945,-23.7142,27.61,55,100,32.46,IS,1643580187
Nanortalik,60.1432,-45.2371,16.25,88,100,21.97,GL,1643580187
Béjar,40.3864,-5.7634,44.58,48,26,4.65,ES,1643580188
Skjervøy,70.0311,20.9714,28.74,62,76,9.24,NO,1643580188
Orós,-6.2444,-38.9136,80.53,53,69,3.87,BR,1643580189
Coquimbo,-29.9533,-71.3436,66.2,79,40,9.66,CL,1643580055
Forio,40.7342,13.8646,55.42,80,98,3.0,IT,1643580194
Bereket,39.2446,55.5154,41.32,69,73,9.08,TM,1643580195
Haines Junction,60.7522,-137.5108,9.77,90,98,2.84,CA,1643580196
Bambanglipuro,-7.95,110.2833,61.61,89,100,4.23,ID,1643580198
Mahibadhoo,3.7833,72.9667,81.97,75,79,11.9,MV,1643580121
Sol'vychegodsk,61.3305,46.9156,0.5,98,47,4.25,RU,1643580200
Slave Lake,55.2834,-114.769,27.79,93,91,2.8,CA,1643580200
Guerrero Negro,27.9769,-114.0611,65.1,52,90,14.0,MX,1643580201
Ulmu,44.95,27.3167,39.54,57,51,14.92,RO,1643580202
Auki,-8.7676,160.7034,81.81,80,99,1.95,SB,1643580203
Havre-St-Pierre,50.2334,-63.5986,5.36,78,20,14.97,CA,1643580204
Lamu,-2.2717,40.902,76.89,84,73,10.38,KE,1643580204
Nemuro,43.3236,145.575,15.78,68,39,12.19,JP,1643580205
Marsá Maţrūḩ,31.3525,27.2453,55.4,74,62,15.97,EG,1643580205
Bengkulu,-3.8004,102.2655,75.72,89,100,3.8,ID,1643580033
Necochea,-38.5473,-58.7368,68.04,65,72,20.24,AR,1643580207
Santa Fe,-31.6333,-60.7,89.98,25,0,1.99,AR,1643580207
São Sebastião do Passé,-12.5125,-38.4953,83.75,79,74,6.46,BR,1643580208
Kaeo,-35.1,173.7833,72.32,75,99,14.61,NZ,1643580135
Dingle,10.9995,122.6711,73.74,94,66,3.74,PH,1643580209
Clyde River,70.4692,-68.5914,-25.37,68,100,5.75,CA,1643580209
Aykhal,66.0,111.5,-21.82,100,90,3.69,RU,1643580209
Sibolga,1.7427,98.7792,75.78,90,95,3.44,ID,1643580210
Guarujá,-23.9931,-46.2564,78.4,26,97,0.49,BR,1643580211
San Benito,36.6166,-121.0844,57.94,52,0,5.32,US,1643580212
Baloda Bāzār,21.6667,82.1667,56.84,31,0,3.78,IN,1643580213
Port Moresby,-9.4431,147.1797,75.96,86,100,10.74,PG,1643580213
Saldanha,-33.0117,17.9442,65.32,92,87,8.72,ZA,1643580214
Madimba,-10.4,40.3333,76.12,87,42,0.72,TZ,1643580214
Miyako,39.6367,141.9525,24.6,63,84,6.96,JP,1643580215
Marsh Harbour,26.5412,-77.0636,63.36,56,98,11.5,BS,1643580003
Yulara,-25.2406,130.9889,74.82,81,100,17.81,AU,1643580216
Kindu,-2.95,25.95,72.54,83,100,3.02,CD,1643580216
Chiredzi,-21.05,31.6667,71.13,61,100,4.45,ZW,1643580218
Manicoré,-5.8092,-61.3003,75.9,88,100,2.48,BR,1643580218
Lima,-12.0432,-77.0282,75.9,72,0,3.0,PE,1643579707
Sisimiut,66.9395,-53.6735,4.46,82,100,17.2,GL,1643580219
Isangel,-19.55,169.2667,77.27,94,100,9.78,VU,1643580220
La Ronge,55.1001,-105.2842,14.61,93,99,3.85,CA,1643580078
Sernur,56.9333,49.1536,9.39,97,95,5.03,RU,1643580220
Coxen Hole,16.3244,-86.5366,73.27,85,100,4.0,HN,1643580017
Nuuk,64.1835,-51.7216,12.81,67,40,18.41,GL,1643580223
San Juan del Paraná,-27.3,-55.9667,93.25,27,20,8.05,PY,1643580223
Fairhope,30.523,-87.9033,62.76,60,0,8.05,US,1643579939
Mangai,-4.05,19.5333,77.04,70,100,0.65,CD,1643580224
Pisco,-13.7,-76.2167,73.45,68,75,4.61,PE,1643580225
Price,39.5994,-110.8107,47.12,28,0,0.0,US,1643580204
Soyo,-6.1349,12.3689,78.8,86,100,6.22,AO,1643580226
Iki-Burul,45.8208,44.6472,30.54,90,70,8.34,RU,1643580226
Trairi,-3.2778,-39.2689,76.46,89,100,6.17,BR,1643580227
Leh,34.1667,77.5833,7.39,93,100,0.89,IN,1643580228
Gorom-Gorom,14.4439,-0.2361,73.62,12,9,11.25,BF,1643580228
Coyhaique,-45.5752,-72.0662,56.01,47,40,8.05,CL,1643580229
Bosaso,11.2842,49.1816,73.54,72,81,3.58,SO,1643579946
Barra de Tecoanapa,16.5167,-98.75,83.41,64,3,11.01,MX,1643580230
Tsumeb,-19.2333,17.7167,69.03,87,100,4.32,NA,1643580231
Shubarshi,48.5872,57.1869,25.52,95,100,14.23,KZ,1643580154
Bintulu,3.1667,113.0333,75.97,91,100,3.89,MY,1643580233
Vestmannaeyjar,63.4427,-20.2734,31.59,62,100,39.28,IS,1643580234
Ciudad Bolivar,8.1222,-63.5497,89.58,35,19,12.88,VE,1643580234
Härnösand,62.6323,17.9379,32.0,76,5,11.7,SE,1643580235
Erenhot,43.6475,111.9767,4.59,89,100,17.54,CN,1643580236
Praia,14.9215,-23.5087,70.34,68,75,20.71,CV,1643580236
Cavalcante,-13.7975,-47.4583,69.15,92,100,1.43,BR,1643580237
Sobolevo,54.4299,31.8996,30.54,92,99,7.14,RU,1643580237
Salinópolis,-0.6136,-47.3561,77.59,87,100,11.1,BR,1643580149
La Plaine,15.3333,-61.25,75.7,76,37,9.71,DM,1643580238
Harsūd,22.1,76.7333,60.94,29,2,1.61,IN,1643580238
Balabac,7.9868,117.0645,79.66,79,15,4.05,PH,1643580239
Riohacha,11.5444,-72.9072,79.38,72,4,15.43,CO,1643580239
Takoradze,4.8845,-1.7554,79.27,82,99,6.04,GH,1643580240
Koumac,-20.5667,164.2833,80.8,73,98,4.74,NC,1643580241
Ketchikan,55.3422,-131.6461,37.87,87,100,12.66,US,1643580241
Tacoronte,28.4769,-16.4102,57.56,66,5,1.99,ES,1643580090
Chokurdakh,70.6333,147.9167,-29.99,93,16,2.8,RU,1643580242
Gusau,12.1628,6.6614,67.66,15,67,11.95,NG,1643580243
Yuxia,34.0615,108.6291,31.33,39,84,2.95,CN,1643580243
Klaksvík,62.2266,-6.589,36.52,78,100,41.85,FO,1643580244
Soe,-9.8607,124.284,67.3,88,72,7.83,ID,1643580244
Davenda,53.5556,119.317,-5.31,91,100,4.05,RU,1643580245
Høyanger,61.2204,6.0749,33.19,89,100,7.43,NO,1643580245
Bandarbeyla,9.4942,50.8122,75.54,76,96,15.9,SO,1643580246
Saint George,37.1041,-113.5841,64.87,17,0,1.01,US,1643580241
Vadum,57.1179,9.857,36.91,86,75,1.14,DK,1643580247
Øksfjord,70.2396,22.3479,31.12,84,37,9.78,NO,1643580247
Vardø,70.3705,31.1107,28.15,80,40,10.36,NO,1643580248
Brewster,41.3973,-73.6171,24.04,52,21,1.01,US,1643580248
Koster,-25.863,26.8976,59.52,91,100,5.7,ZA,1643580249
At-Bashi,41.1702,75.8106,2.48,77,89,2.01,KG,1643580250
Roquetas de Mar,36.7642,-2.6148,52.61,59,0,3.36,ES,1643580250
Fairbanks,64.8378,-147.7164,-8.09,76,70,0.94,US,1643580126
Luwuk,-0.9516,122.7875,76.87,81,99,5.55,ID,1643580251
Ucluelet,48.9329,-125.5528,43.11,93,100,7.0,CA,1643580252
Raudeberg,61.9875,5.1352,33.19,69,100,3.0,NO,1643580058
Lorengau,-2.0226,147.2712,78.69,86,100,11.9,PG,1643580253
Alta Floresta,-9.8756,-56.0861,71.15,96,98,3.6,BR,1643579996
Umm Hājar,13.2954,19.6966,66.76,15,1,13.47,TD,1643580253
Dale,38.1689,-86.99,40.78,56,0,10.36,US,1643580095
Remiremont,48.0175,6.5882,36.09,95,11,2.98,FR,1643580254
Solnechnyy,50.7214,136.6319,-10.7,98,88,3.2,RU,1643580255
Vila Velha,-20.3297,-40.2925,79.95,82,86,1.01,BR,1643580065
Lata,40.1629,-8.3327,46.81,55,99,3.15,PT,1643580257
Mahajanga,-15.7167,46.3167,79.66,82,7,7.29,MG,1643580258
Ancud,-41.8697,-73.8203,60.42,58,32,12.21,CL,1643580103
Benxi,41.2886,123.765,3.52,40,46,3.96,CN,1643580259
Camaná,-16.6228,-72.7111,72.75,70,22,7.67,PE,1643580260
Menongue,-14.6585,17.691,62.2,87,100,2.84,AO,1643580261
Prado,-17.3411,-39.2208,79.27,83,11,13.85,BR,1643580262
Port Blair,11.6667,92.75,71.51,72,42,8.39,IN,1643580263
Mount Gambier,-37.8333,140.7667,62.51,100,100,4.61,AU,1643580137
Asenovgrad,42.0167,24.8667,44.08,42,64,27.63,BG,1643580263
Butte,39.6499,-121.5677,63.95,45,0,5.75,US,1643580264
Hofn,64.2539,-15.2082,25.65,51,0,22.35,IS,1643580148
Laem Sing,12.4816,102.0738,83.14,84,16,4.88,TH,1643580265
Fort Nelson,58.8053,-122.7002,2.93,87,100,7.47,CA,1643580070
Heraclea,37.5133,34.0467,24.21,79,28,5.19,TR,1643580266
Boali,4.8005,18.1275,76.32,20,65,4.5,CF,1643580266
Kenora,49.8167,-94.4337,12.78,78,100,8.01,CA,1643580267
Kothāpet,19.3333,79.4833,62.74,30,0,1.07,IN,1643580267
Maxixe,-23.8597,35.3472,73.76,84,67,6.69,MZ,1643580268
Okhotsk,59.3833,143.3,13.64,73,100,17.78,RU,1643580252
Naranjito,-2.2167,-79.4833,78.48,93,100,1.32,EC,1643580270
Vallenar,-28.5708,-70.7581,75.74,45,0,7.83,CL,1643580270
Prince Rupert,54.3161,-130.3201,37.49,87,100,4.61,CA,1643580075
Kloulklubed,7.0419,134.2556,75.7,72,97,13.6,PW,1643580271
Longyearbyen,78.2186,15.6401,8.44,61,0,20.71,SJ,1643580272
Awjilah,29.1081,21.2869,53.55,59,73,14.56,LY,1643580272
Karakulino,56.012,53.7067,16.7,97,99,5.06,RU,1643580273
Djambala,-2.5447,14.7533,70.74,82,96,3.83,CG,1643580273
Rawson,-43.3002,-65.1023,57.99,48,69,13.4,AR,1643580106
Dubrovnik,42.6481,18.0922,51.44,37,0,10.36,HR,1643580274
Goderich,43.7501,-81.7165,23.92,83,82,5.64,CA,1643580275
Zhangaözen,43.3,52.8,39.15,72,100,14.09,KZ,1643580275
Praia da Vitória,38.7333,-27.0667,58.75,84,48,24.05,PT,1643580146
Ossora,59.2353,163.0719,29.98,92,100,19.15,RU,1643580276
Pawai,24.2667,80.1667,57.2,35,0,0.38,IN,1643580277
Warah,27.4481,67.7978,60.6,30,0,3.6,PK,1643580277
Carnarvon,-24.8667,113.6333,77.52,73,57,21.47,AU,1643580278
Young,-32.6833,-57.6333,85.23,38,0,2.86,UY,1643580279
Karatau,43.1667,70.4667,26.02,85,90,0.27,KZ,1643580279
Filingué,14.3521,3.3168,72.37,12,15,13.11,NE,1643580280
Dwārka,22.2394,68.9678,69.85,80,0,9.66,IN,1643580280
Ţahţā,26.7693,31.5021,50.7,47,1,5.97,EG,1643580281
Vila,42.0304,-8.1588,40.93,52,0,2.8,PT,1643580281
Los Llanos de Aridane,28.6585,-17.9182,58.75,78,5,8.99,ES,1643580282
Djibouti,11.5,42.5,67.39,69,2,15.28,DJ,1643580075
Arrondissement de Saverne,48.8333,7.25,34.21,92,33,4.36,FR,1643580282
Sigiriya,7.9518,80.7426,70.43,98,42,2.71,LK,1643580283
Kattivākkam,13.2167,80.3167,78.08,83,7,1.21,IN,1643580283
Tuntum,-5.2581,-44.6489,73.18,93,93,1.23,BR,1643580284
Aklavik,68.2191,-135.0107,0.3,97,100,4.54,CA,1643580285
Saint-Augustin,51.226,-58.6502,17.67,88,99,32.17,CA,1643580286
Luang Prabang,19.8856,102.1347,58.28,83,19,1.5,LA,1643580286
Valparaíso,-33.0393,-71.6273,77.23,63,0,14.97,CL,1643579988
Chumikan,54.7183,135.315,-3.12,83,100,18.41,RU,1643580287
Alamosa,37.4695,-105.87,38.71,35,0,4.61,US,1643580287
Sterling,39.0062,-77.4286,32.05,54,100,3.0,US,1643580282
Manaus,-3.1019,-60.025,77.5,94,75,5.75,BR,1643580000
Lakatoro,-16.0999,167.4164,80.44,83,100,8.12,VU,1643580289
Herblay-sur-Seine,49.0,2.1667,45.01,83,100,5.75,FR,1643580289
Dongsheng,39.8161,109.9776,7.09,49,0,15.41,CN,1643580290
Voss,60.623,6.4229,33.6,95,100,3.69,NO,1643580291
Caibarién,22.5206,-79.4669,65.52,53,45,12.12,CU,1643580291
Labuhan,-6.8844,112.2051,78.01,86,100,8.1,ID,1643580292
Berlevåg,70.8578,29.0864,30.2,93,100,6.91,NO,1643580292
Saint Anthony,45.0205,-93.218,24.42,65,0,1.99,US,1643580072
Bertoua,4.5833,13.6833,71.24,28,92,3.91,CM,1643580293
Departamento de Maldonado,-34.6667,-54.9167,81.23,61,0,5.79,UY,1643580294
Lompoc,34.6391,-120.4579,75.02,42,0,19.57,US,1643580288
Ampanihy,-24.7,44.75,70.52,75,83,12.66,MG,1643580295
Rio Grande,-32.035,-52.0986,77.95,72,21,19.55,BR,1643580296
